Timestamp,Longitude,Latitude,Speed,Operatorname,CellID,NetworkMode,RSRP,RSRQ,SNR,CQI,RSSI,DL_bitrate,UL_bitrate,State,NRxRSRP,NRxRSRQ,ServingCell_Lon,ServingCell_Lat,ServingCell_Distance
2018.02.05_15.09.49,-8.655394,52.138499,23,B,3,LTE,-108,-13,1.0,6,-91,4484,122,D,-112.0,-18.0,-8.662968,52.126101,1472.3399999999999
2018.02.05_15.09.50,-8.655394,52.138499,23,B,3,LTE,-104,-12,2.0,5,-87,7515,140,D,-108.0,-18.0,-8.662968,52.126101,1472.3399999999999
2018.02.05_15.09.51,-8.655394,52.138499,23,B,3,LTE,-104,-12,2.0,5,-91,8298,154,D,-108.0,-18.0,-8.662968,52.126101,1472.3399999999999
2018.02.05_15.09.52,-8.655394,52.138499,23,B,3,LTE,-107,-13,2.0,5,-91,8566,289,D,-110.0,-17.0,-8.662968,52.126101,1472.3399999999999
2018.02.05_15.09.53,-8.655394,52.138499,23,B,3,LTE,-107,-13,2.0,5,-91,6464,120,D,-110.0,-17.0,-8.662968,52.126101,1472.3399999999999
2018.02.05_15.09.55,-8.655394,52.138499,23,B,3,LTE,-110,-13,2.0,5,-93,3992,74,D,-115.0,-17.0,-8.662968,52.126101,1472.3399999999999
2018.02.05_15.09.56,-8.655394,52.138499,23,B,3,LTE,-110,-13,2.0,5,-93,6811,126,D,-115.0,-17.0,-8.662968,52.126101,1472.3399999999999
2018.02.05_15.09.57,-8.655394,52.138499,23,B,3,LTE,-107,-13,2.0,7,-94,4048,75,D,-113.0,-18.0,-8.662968,52.126101,1472.3399999999999
2018.02.05_15.09.58,-8.655394,52.138499,23,B,3,LTE,-107,-13,2.0,7,-94,2919,58,D,-113.0,-18.0,-8.662968,52.126101,1472.3399999999999
2018.02.05_15.09.59,-8.655394,52.138499,23,B,3,LTE,-116,-14,-1.0,4,-94,1453,83,D,-114.0,-13.0,-8.662968,52.126101,1472.3399999999999
2018.02.05_15.10.00,-8.655394,52.138499,23,B,3,LTE,-116,-14,-1.0,4,-94,794,45,D,-114.0,-13.0,-8.662968,52.126101,1472.3399999999999
2018.02.05_15.10.01,-8.655394,52.138499,23,B,3,LTE,-119,-16,-4.0,3,-94,838,48,D,-93.0,-10.0,-8.662968,52.126101,1472.3399999999999
2018.02.05_15.10.02,-8.655394,52.138499,23,B,3,LTE,-119,-16,-4.0,3,-94,33,1,D,-93.0,-10.0,-8.662968,52.126101,1472.3399999999999
2018.02.05_15.11.15,-8.655394,52.138499,23,B,3,LTE,-104,-9,0.0,14,-87,0,0,D,-109.0,-15.0,-8.664269,52.116961,2470.3600000000001
2018.02.05_15.11.16,-8.655394,52.138499,23,B,3,LTE,-104,-9,0.0,13,-89,2,0,D,-109.0,-15.0,-8.664269,52.116961,2470.3600000000001
